"userId","role","location","TotalMeces","señority"
"43afd954-f2d2-4b44-a929-725bd4663301","editor",\N,"12","0"
"e938c207-84f3-4163-adcf-19a2d4cec570","web development ",\N,"10","0"
"4de8410c-15ac-4edf-8de8-2907ec078a87","redacción de artículos periodísticos",\N,"3","0"
"f8de11ea-b696-4263-b5b9-c5ed8586b018","comunicación interna y diseñador",\N,"14","0"
"6ebf79c2-bc27-4e46-acd3-8f185d7fabcc","diseño/ community manager.",\N,"10","0"
"cc0faa4e-9b52-4329-8902-8500a64212ac","dev ops",\N,"22","0"
"cc0faa4e-9b52-4329-8902-8500a64212ac","sub director ti",\N,"12","0"
"cc0faa4e-9b52-4329-8902-8500a64212ac","desarrollador ",\N,"4","3"
"cc0faa4e-9b52-4329-8902-8500a64212ac","profesor",\N,"15","0"
"cc0faa4e-9b52-4329-8902-8500a64212ac","desarrollador ",\N,"55","1"
"a8d7d498-84e1-41e2-ab56-deb46edd1304","marketing executive",\N,"16","0"
"a8d7d498-84e1-41e2-ab56-deb46edd1304","assistant marketing",\N,"6","0"
"a8d7d498-84e1-41e2-ab56-deb46edd1304","latam assistant marketing",\N,"5","0"
"2976c4b6-21c6-456d-a5f0-eb433afd7de6","asistente administrativa ",\N,"118","0"
"2976c4b6-21c6-456d-a5f0-eb433afd7de6","asistente ",\N,"60","0"
"2976c4b6-21c6-456d-a5f0-eb433afd7de6","administración ",\N,"31","0"
"11472592-fc1e-447f-bd1e-44b6959c5a5d","account manager",\N,"8","0"
"11472592-fc1e-447f-bd1e-44b6959c5a5d","account supervisor",\N,"30","0"
"11472592-fc1e-447f-bd1e-44b6959c5a5d","project manager",\N,"35","0"
"11472592-fc1e-447f-bd1e-44b6959c5a5d","account executive",\N,"12","0"
"11472592-fc1e-447f-bd1e-44b6959c5a5d","account executive",\N,"23","0"
"4dc29d39-95af-4bcd-b186-54fb8e5e7180","gerente estratégica",\N,"22","0"
"4dc29d39-95af-4bcd-b186-54fb8e5e7180","senior operations coordinator",\N,"43","0"
"4dc29d39-95af-4bcd-b186-54fb8e5e7180","ejecutiva de marketing y relaciones públicas",\N,"22","0"
"04ee2a2f-94a1-4654-abbf-f4e756e59242","asistente de prensa y relaciones públicas ",\N,"2","0"
"04ee2a2f-94a1-4654-abbf-f4e756e59242","becario de espectáculos",\N,"5","0"
"04ee2a2f-94a1-4654-abbf-f4e756e59242","directora académica",\N,"4","0"
"04ee2a2f-94a1-4654-abbf-f4e756e59242","voluntaria en relaciones públicas",\N,"1","0"
"04ee2a2f-94a1-4654-abbf-f4e756e59242","colaboradora y redactora web",\N,"8","0"
"548fac13-1e2a-4e13-bf95-f4438cc80a94","asistente de grabación e inteligencia comercial ",\N,"12","0"
"5b1090bc-31fa-48ed-bba4-dbc56e489c02","lead animator ",\N,"46","4"
"5b1090bc-31fa-48ed-bba4-dbc56e489c02","subdirector técnico ",\N,"128","0"
"e74e8253-c45a-4ad8-9386-d24c3b057801","motion graphics",\N,"18","0"
"e74e8253-c45a-4ad8-9386-d24c3b057801","motion graphics y postproducción",\N,"14","0"
"e74e8253-c45a-4ad8-9386-d24c3b057801","motion graphics y project manager para la cuenta jacks pacific ",\N,"20","0"
"e74e8253-c45a-4ad8-9386-d24c3b057801","motion graphics y postproductor",\N,"22","0"
